Model,Price_Original,Price,Price_VND,Ram_Original,Ram,SSD_Original,SSD,Graphics,GPU,G3Dmark,TDP,Perf_Per_Watt,Price_Objective,Budget_Score,Performance_Score,Energy_Consumption,Efficiency_Score
HP/255 G6/Notebook/15.6/Full HD 1920x1080/AMD A6-Series 9220 2.5GHz,398.49,398.49,10759230.0,4GB,4.0,256GB SSD,256.0,AMD Radeon R4 Graphics,AMD Radeon R4 Graphics,346.0,15.0,21.625,0.02499384261729814,0.9750061573827019,0.03451397112550077,0.0,0.10630862451668338
HP/ProBook 430/Notebook/13.3/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,1103.0,1103.0,29781000.0,8GB,8.0,512GB SSD,512.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.14549211170860527,0.8545078882913948,0.14084779997816355,0.21212121212121213,0.15149291135615067
Acer/Aspire 3/Notebook/15.6/1366x768/Intel Core i3 7100U 2.4GHz,384.0,384.0,10368000.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.02251549607979967,0.9774845039202004,0.039327017561540986,0.21212121212121213,0.08967492481741372
Dell/Inspiron 3576/Notebook/15.6/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,767.8,767.8,20730600.0,8GB,8.0,256GB SSD,256.0,AMD Radeon 520,AMD Radeon 520,873.0,50.0,17.11764705882353,0.08816003721795765,0.9118399627820424,0.06545474396768206,0.21212121212121213,0.08079621938994701
HP/15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)/Notebook/15.6/Full HD 1920x1080/Intel Core i3 6006U 2GHz,439.0,439.0,11853000.0,4GB,4.0,128GB SSD,128.0,Intel HD Graphics 520,Intel HD Graphics 520,873.0,15.0,54.5625,0.03192260854097396,0.968077391459026,0.01971830985915493,0.0,0.29274062902763853
Asus/VivoBook Max/Notebook/15.6/1366x768/Intel Core i5 7200U 2.5GHz,586.19,586.19,15827130.000000002,4GB,4.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.05709775187116018,0.9429022481288398,0.050954924538285165,0.21212121212121213,0.08967492481741372
MSI/GS73VR 7RG/Gaming/17.3/Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,2449.0,2449.0,66123000.0,16GB,16.0,256GB SSD +  2TB HDD,665.6,Nvidia GeForce GTX 1070,Nvidia GeForce GTX 1070,14672.0,150.0,97.16556291390728,0.37570980939479764,0.6242901906052023,0.5655653959535387,0.8181818181818181,0.5338814083019026
Asus/X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)/Notebook/15.6/Full HD 1920x1080/Intel Core i3 6006U 2GHz,415.0,415.0,11205000.0,4GB,4.0,256GB SSD,256.0,Intel HD Graphics 520,Intel HD Graphics 520,873.0,15.0,54.5625,0.02781768673973426,0.9721823132602657,0.04878807730101539,0.0,0.29274062902763853
Dell/Inspiron 5770/Notebook/17.3/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,1299.0,1299.0,35073000.0,16GB,16.0,256GB SSD +  2TB HDD,665.6,AMD Radeon 530,AMD Radeon 530,1036.0,50.0,20.313725490196077,0.17901563975206272,0.8209843602479373,0.19622628436090606,0.21212121212121213,0.09888658169841041
Dell/Vostro 5471/Ultrabook/14.0/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,879.0,879.0,23733000.0,8GB,8.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.1071795082303682,0.8928204917696319,0.08270826509444262,0.21212121212121213,0.15149291135615067
Lenovo/IdeaPad 520S-14IKB/Notebook/14.0/IPS Panel Full HD 1920x1080/Intel Core i3 7130U 2.7GHz,599.0,599.0,16173000.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.059288753882571855,0.9407112461174282,0.06762159120495183,0.21212121212121213,0.08967492481741372
Asus/UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)/Notebook/14.0/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,941.0,941.0,25407000.0,8GB,8.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.11778388955023739,0.8822161104497626,0.08270826509444262,0.21212121212121213,0.15149291135615067
HP/250 G6/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,690.0,690.0,18630000.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.07485324904560567,0.9251467509543944,0.06762159120495183,0.21212121212121213,0.08967492481741372
Asus/ZenBook Pro/Ultrabook/15.6/Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,1983.0,1983.0,53541000.0,16GB,16.0,512GB SSD,512.0,Nvidia GeForce GTX 1050 Ti,Nvidia GeForce GTX 1050 Ti,6349.0,75.0,83.53947368421052,0.29600591108739377,0.7039940889126062,0.30524830557585225,0.36363636363636365,0.45675536264763295
Lenovo/V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,549.0,549.0,14823000.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.05073683346332252,0.9492631665366775,0.039327017561540986,0.21212121212121213,0.08967492481741372
Asus/FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce/Gaming/17.3/Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,949.0,949.0,25623000.0,12GB,12.0,1TB HDD,204.8,Nvidia GeForce GTX 1050 Ti,Nvidia GeForce GTX 1050 Ti,6349.0,75.0,83.53947368421052,0.11915219681731729,0.8808478031826827,0.2188141970487205,0.36363636363636365,0.45675536264763295
Microsoft/Surface Laptop/Ultrabook/13.5/Touchscreen 2256x1504/Intel Core i5 7200U 2.5GHz,1089.0,1089.0,29403000.0,4GB,4.0,128GB SSD,128.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.14309757399121545,0.8569024260087845,0.021885157096424704,0.21212121212121213,0.08967492481741372
Dell/Inspiron 5370/Ultrabook/13.3/IPS Panel Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,955.0,955.0,25785000.0,8GB,8.0,256GB SSD,256.0,AMD Radeon 530,AMD Radeon 530,1036.0,50.0,20.313725490196077,0.1201784272676272,0.8798215727323728,0.06986969521361922,0.21212121212121213,0.09888658169841041
Dell/Inspiron 5570/Notebook/15.6/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,870.0,870.0,23490000.0,8GB,8.0,256GB SSD,256.0,AMD Radeon 530,AMD Radeon 530,1036.0,50.0,20.313725490196077,0.10564016255490333,0.8943598374450967,0.06986969521361922,0.21212121212121213,0.09888658169841041
MSI/GL72M 7RDX/Gaming/17.3/Full HD 1920x1080/Intel Core i5 7300HQ 2.5GHz,1095.0,1095.0,29565000.0,8GB,8.0,128GB SSD +  1TB HDD,332.8,Nvidia GeForce GTX 1050,Nvidia GeForce GTX 1050,6349.0,75.0,83.53947368421052,0.14412380444152537,0.8558761955584746,0.23121729782391426,0.36363636363636365,0.45675536264763295
Acer/Aspire E5-475/Notebook/14.0/1366x768/Intel Core i3 6006U 2GHz,389.0,389.0,10503000.0,8GB,8.0,1TB HDD,204.8,Intel HD Graphics 520,Intel HD Graphics 520,873.0,15.0,54.5625,0.02337068812172461,0.9766293118782754,0.053826836990937876,0.0,0.29274062902763853
Asus/FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce/Gaming/15.6/Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,949.0,949.0,25623000.0,8GB,8.0,1TB HDD,204.8,Nvidia GeForce GTX 1050,Nvidia GeForce GTX 1050,6349.0,75.0,83.53947368421052,0.11915219681731729,0.8808478031826827,0.2021475303820538,0.36363636363636365,0.45675536264763295
Lenovo/IdeaPad 320-15IKBN/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,519.0,519.0,14013000.0,8GB,8.0,2TB HDD,409.6,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.04560568121177291,0.9543943187882271,0.10250531213518439,0.21212121212121213,0.08967492481741372
Dell/Inspiron 5570/Notebook/15.6/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,855.0,855.0,23085000.0,8GB,8.0,128GB SSD +  1TB HDD,332.8,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.1030745864291285,0.8969254135708715,0.1001501255595589,0.21212121212121213,0.15149291135615067
Acer/Aspire A515-51G-32MX/Notebook/15.6/Full HD 1920x1080/Intel Core i3 7130U 2.7GHz,530.0,530.0,14310000.0,4GB,4.0,1TB HDD,204.8,Nvidia GeForce MX130,Nvidia GeForce MX130,1804.0,30.0,58.193548387096776,0.047487103704007765,0.9525128962959922,0.062376855047998184,0.09090909090909091,0.3132929972791064
HP/ProBook 470/Notebook/17.3/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,977.0,977.0,26379000.0,8GB,8.0,128GB SSD +  1TB HDD,332.8,Nvidia GeForce 930MX,Nvidia GeForce 930MX,1278.0,17.0,71.0,0.12394127225209692,0.876058727747903,0.09386626857147656,0.012121212121212116,0.3857797508234283
Dell/Latitude 5590/Ultrabook/15.6/IPS Panel Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,1096.16,1096.16,29596320.000000004,8GB,8.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.14432220899525197,0.8556777910047481,0.08270826509444262,0.21212121212121213,0.15149291135615067
"Apple/MacBook 12""/Ultrabook/12.0/IPS Panel Retina Display 2304x1440/Intel Core i5 1.3GHz",1510.0,1510.0,40770000.0,8GB,8.0,512GB SSD,512.0,Intel HD Graphics 615,Intel HD Graphics 615,692.0,15.0,43.25,0.21510474392129497,0.784895256078705,0.11869178697708013,0.0,0.22870990262065016
HP/ProBook 440/Notebook/14.0/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,860.0,860.0,23220000.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.10392977847105345,0.8960702215289466,0.06762159120495183,0.21212121212121213,0.08967492481741372
Lenovo/IdeaPad 320-15AST/Notebook/15.6/Full HD 1920x1080/AMD A6-Series 9220 2.5GHz,399.0,399.0,10773000.0,4GB,4.0,128GB SSD,128.0,AMD R4 Graphics,AMD R4 Graphics,346.0,15.0,21.625,0.025081072205574477,0.9749189277944256,0.005444203683640304,0.0,0.10630862451668338
Acer/Aspire 3/Notebook/15.6/1366x768/AMD A9-Series 9420 3GHz,395.0,395.0,10665000.0,4GB,4.0,1TB HDD,204.8,AMD Radeon R5,AMD Radeon R5,1234.0,19.0,61.7,0.024396918572034527,0.9756030814279655,0.046938068482451065,0.024242424242424246,0.3331401260203351
Dell/Inspiron 7577/Gaming/15.6/IPS Panel Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,1349.0,1349.0,36423000.0,16GB,16.0,128GB SSD +  1TB HDD,332.8,Nvidia GeForce GTX 1050 Ti,Nvidia GeForce GTX 1050 Ti,6349.0,75.0,83.53947368421052,0.18756756017131204,0.812432439828688,0.26455063115724764,0.36363636363636365,0.45675536264763295
HP/Pavilion 15-CK000nv/Ultrabook/15.6/IPS Panel Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,699.0,699.0,18873000.0,8GB,8.0,256GB SSD,256.0,Nvidia GeForce GTX 940MX,Nvidia GeForce GTX 940MX,1508.0,23.0,62.833333333333336,0.07639259472107054,0.9236074052789295,0.08265409391351088,0.04848484848484849,0.3395549906916798
HP/250 G6/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,598.99,598.99,16172730.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.059287043498488005,0.940712956501512,0.06762159120495183,0.21212121212121213,0.08967492481741372
Asus/FX503VM-E4007T (i7-7700HQ/16GB/1TB/Gaming/15.6/IPS Panel Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,1449.0,1449.0,39123000.0,16GB,16.0,128GB SSD +  1TB HDD,332.8,Nvidia GeForce GTX 1060,Nvidia GeForce GTX 1060,10064.0,120.0,83.17355371900827,0.20467140100981074,0.7953285989901893,0.3651735997379626,0.6363636363636364,0.4546841917147074
